kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Kruununhaka,2h+k+kph,kt,"66,00",498000,7545,1908,2/3,on,hyvä,oma,D2018,Kaksiot,00170
Kruununhaka,"1-2h, k",kt,"52,00",380000,7308,1908,5/5,on,tyyd.,oma,D2018,Kaksiot,00170
Kruununhaka,"2h, k, kph, eri...",kt,"38,50",305000,7922,1928,4/5,on,hyvä,oma,D2007,Kaksiot,00170
Kruununhaka,"2h, avok, kph, et",kt,"44,00",325000,7386,1951,2/6,on,hyvä,oma,D2018,Kaksiot,00170
Kruununhaka,"2h, alkovi, k, kph",kt,"55,50",380000,6847,1934,2/6,on,hyvä,oma,G2013,Kaksiot,00170
Kruununhaka,"2h,kk",kt,"50,00",355000,7100,1939,4/7,on,tyyd.,oma,F2013,Kaksiot,00170
Kruununhaka,"2h, k, kph",kt,"40,00",341000,8525,1904,6/6,on,hyvä,oma,D2018,Kaksiot,00170
Kruununhaka,"1h, k, kph, eri...",kt,"44,20",339000,7670,1909,5/7,on,hyvä,oma,F2018,Kaksiot,00170
Kruununhaka,"2h, k, kh, parveke",kt,"58,00",428000,7379,1950,5/6,on,tyyd.,oma,D2018,Kaksiot,00170
Kruununhaka,"2h, ikkunalline...",kt,"36,00",266000,7389,1962,5/6,on,hyvä,oma,E2007,Kaksiot,00170
Kruununhaka,2h+kk,kt,"51,50",270000,5243,1939,2/5,on,huono,oma,E2018,Kaksiot,00170
Kruununhaka,"2h, avok, kph",kt,"38,00",340000,8947,1928,7/7,on,hyvä,oma,F2013,Kaksiot,00170
Kruununhaka,"2-3h, avok, kph",kt,"58,00",446000,7690,1939,4/4,on,hyvä,oma,E2018,Kaksiot,00170
Kruununhaka,"2h, keittiö...",kt,"62,00",462000,7452,1912,2/3,ei,hyvä,oma,F2017,Kaksiot,00170
Kruununhaka,2h+avok+kph,kt,"47,30",440000,9302,1927,6/7,on,hyvä,oma,C2018,Kaksiot,00170
Kruununhaka,2h+avok+kph+vh+et,kt,"52,90",410000,7750,1926,5/6,on,hyvä,oma,D2018,Kaksiot,00170
Kruununhaka,"2h, avok, kph",kt,"34,00",320000,9412,1850,1/5,on,hyvä,oma,C2018,Kaksiot,00170
Kruununhaka,"2h, avok, suihk...",kt,"50,50",400000,7921,1908,4/6,on,hyvä,oma,F2013,Kaksiot,00170
